"Category","Item","Retailer","Shelf_Price","Price_per_unit","Unit","Date"
"Pears","ASDA Grower's Selection Conference Pears ","ASDA",1,0.25,"Each",2019-01-14
"Pears","ASDA Farm Stores Pears ","ASDA",0.59,1.18,"Kg",2019-01-14
"Pears","ASDA Grower's Selection Pears ","ASDA",1.8,1.5,"Kg",2019-01-14
"Pears","ASDA Chosen by Kids Sweet & Juicy Pears ","ASDA",0.79,0.132,"Each",2019-01-14
"Pears","ASDA Grower's Selection Dessert Pears ","ASDA",1,1.67,"Kg",2019-01-14
"Pears","ASDA Grower's Selection Conference Pear by Weight ","ASDA",0.48,1.6,"Kg",2019-01-14
"Pears","ASDA Grower's Selection Organic Pears ","ASDA",1.98,0.495,"Each",2019-01-14
"Pears","ASDA Extra Special Seasonal Selection Pears ","ASDA",2,0.5,"Each",2019-01-14
"Pears","Iceland Conference Pears ","Iceland",1.5,1.5,"Kg",2019-01-14
"Pears","Speciality Pears ","Lidl",1.99,0.498,"Each",2019-01-14
"Pears","Lidl Abate Pears by Weight ","Lidl",0.159,1.59,"Kg",2019-01-14
"Pears","Conference Pears ","Lidl",1.19,1.7,"Kg",2019-01-14
"Pears","Morrisons Sweet Pears ","Morrisons",1.35,0.27,"Each",2019-01-14
"Pears","Morrisons Conference Pears ","Morrisons",1.25,0.313,"Each",2019-01-14
"Pears","Morrisons Asian Pears ","Morrisons",1.3,0.433,"Each",2019-01-14
"Pears","Morrisons Ripe & Ready to Eat Pears ","Morrisons",2,0.5,"Each",2019-01-14
"Pears","Morrisons Ripe & Ready Seasonal Pear ","Morrisons",2,0.5,"Each",2019-01-14
"Pears","Morrisons The Best Concorde Pears ","Morrisons",2,0.5,"Each",2019-01-14
"Pears","Ocado Conference Pears ","Ocado",1.8,0.3,"Each",2019-01-14
"Pears","Essential Waitrose Conference Pears ","Ocado",2.2,0.293,"Each",2019-01-14
"Pears","Essential Waitrose A Little Less than Perfect Pears ","Ocado",1.7,0.213,"Each",2019-01-14
"Pears","Essential Waitrose Pears ","Ocado",1.8,0.3,"Each",2019-01-14
"Pears","Waitrose Conference Pears ","Ocado",2.3,0.575,"Each",2019-01-14
"Pears","Waitrose Comice Pears ","Ocado",3,0.75,"Each",2019-01-14
"Pears","Waitrose Duchy Organic Pears ","Ocado",2.5,0.625,"Each",2019-01-14
"Pears","Ocado Organic Ripe & Ready Pears ","Ocado",2.5,0.625,"Each",2019-01-14
"Pears","Ocado Ripe & Ready Conference Pears ","Ocado",2,0.4,"Each",2019-01-14
"Pears","Waitrose 1 Perfectly Ripe Conference Pears ","Ocado",2.5,0.5,"Each",2019-01-14
"Pears","Waitrose 1 Best of British Pears ","Ocado",2.5,0.5,"Each",2019-01-14
"Pears","Ravenhill Pears ","Ocado",2.25,0.563,"Each",2019-01-14
"Pears","Waitrose Blush Pears ","Ocado",2.5,0.625,"Each",2019-01-14
"Pears","Ocado Ripe & Ready to Eat Pears ","Ocado",2,0.5,"Each",2019-01-14
"Pears","Natoora Italian Madernassa Poaching Pears ","Ocado",3.15,6.3,"Kg",2019-01-14
"Pears","Waitrose 1 Perfectly Ripe Red Pears ","Ocado",2.5,0.625,"Each",2019-01-14
"Pears","Waitrose 1 Perfectly Ripe Green Williams Pears ","Ocado",3,0.75,"Each",2019-01-14
"Pears","Ethical Food Company Organic Pears ","Ocado",3,0.6,"Each",2019-01-14
"Pears","Orchard World Conference Pears ","Ocado",4.59,1.72,"Kg",2019-01-14
"Pears","Waitrose 1 Perfectly Ripe Rocha Pears ","Ocado",2.5,0.625,"Each",2019-01-14
"Pears","Natoora British Concorde Pears ","Ocado",2.49,0.83,"Each",2019-01-14
"Pears","Natoora Large French Comice Pears ","Ocado",3.5,1.75,"Each",2019-01-14
"Pears","Natoora Seasonal Large Italian Pears ","Ocado",3.99,2,"Each",2019-01-14
"Pears","Natoora Large French Passe Crassane Pears ","Ocado",3.99,2,"Each",2019-01-14
